year,data_status_code,property_type_sort,property_type_code,property_type,market_segment_sort,market_segment_code,market_segment,district_sort,district_code,district,num_units,price_per_m2,median_price,total_price,num_units_clean
2013,D,1,22,Kauf,1,J,Ja,74,74,Witikon,12,9092.0,800000.0,13300000.0,12.0
2013,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,25-35,14399.0,1695000.0,46417368.0,25.0
2013,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,3-9,20667.0,1550000.0,5900000.0,3.0
2013,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,15,14063.0,2275000.0,29817368.0,15.0
2013,D,1,22,Kauf,1,J,Ja,83,83,Weinegg,7–9,12222.0,1400000.0,10700000.0,7.0
2013,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,21,8247.0,790000.0,18865000.0,21.0
2013,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,12,7191.0,665000.0,8910000.0,12.0
2013,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,9,8522.0,940000.0,9955000.0,9.0
2013,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,57,11468.0,1289000.0,73242430.0,57.0
2013,D,1,22,Kauf,1,J,Ja,101,101,Höngg,21,10000.0,1000000.0,21484430.0,21.0
2013,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,36,11797.0,1369000.0,51758000.0,36.0
2013,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,89,9016.0,750000.0,74145158.0,89.0
2013,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,12,7843.0,560000.0,8964000.0,12.0
2013,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,48,10457.0,887500.0,43552000.0,48.0
2013,D,1,22,Kauf,1,J,Ja,119,119,Seebach,29,7362.0,750790.0,21629158.0,29.0
2013,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,26,7361.0,934000.0,23546500.0,26.0
2013,D,1,22,Kauf,1,J,Ja,122,122,Schwamendingen-Mitte,23,7375.0,946000.0,21501500.0,23.0
2014,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),678,11013.0,1065000.0,816273440.0,678.0
2014,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,4,17995.0,1800175.0,6180000.0,4.0
2014,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,4,17995.0,1800175.0,6180000.0,4.0
2014,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,18,10846.0,1322500.0,22843560.0,18.0
2014,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,11,10970.0,1275000.0,13765798.0,11.0
2014,D,1,22,Kauf,1,J,Ja,24,24,Enge,4–6,11402.0,1670000.0,7787762.0,4.0
2014,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,20,9117.0,833551.0,17006576.0,20.0
2014,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,14,9117.0,807117.0,10216974.0,14.0
2014,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,3–5,16071.0,900000.0,6169603.0,3.0
2014,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,29,10000.0,690000.0,23260000.0,29.0
2014,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,20,10233.0,752500.0,19070000.0,20.0
2014,D,1,22,Kauf,1,J,Ja,44,44,Hard,6–8,6207.0,180000.0,1995000.0,6.0
2014,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,212,12168.0,1150000.0,266441685.0,212.0
2014,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,212,12168.0,1150000.0,266441685.0,212.0
2014,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,20-25,11056.0,912438.0,29909300.0,20.0
2014,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,13,10400.0,1110000.0,15438000.0,13.0
2014,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,12,12664.0,844719.0,14471300.0,12.0
2014,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,98,13549.0,1710000.0,178511967.0,98.0
2014,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,36,15148.0,2192500.0,84335500.0,36.0
2014,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,19,12182.0,1300000.0,30462793.0,19.0
2014,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,5,15000.0,1500000.0,8010000.0,5.0
2014,D,1,22,Kauf,1,J,Ja,74,74,Witikon,38,11189.0,1497500.0,55703674.0,38.0
2014,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,27,13722.0,1600000.0,48030000.0,27.0
2014,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,5,14316.0,1360000.0,7965000.0,5.0
2014,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,8,13989.0,1267500.0,13025000.0,8.0
2014,D,1,22,Kauf,1,J,Ja,83,83,Weinegg,14,13557.0,1625000.0,27040000.0,14.0
2014,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,63,10291.0,910000.0,61772467.0,63.0
2014,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,18,7779.0,722500.0,13649475.0,18.0
2014,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,45,10964.0,935000.0,48122992.0,45.0
2014,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,53,10526.0,1037000.0,58589961.0,53.0
2014,D,1,22,Kauf,1,J,Ja,101,101,Höngg,40,10609.0,1048500.0,45713411.0,40.0
2014,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,13-17,10521.0,1021550.0,12876550.0,13.0
2014,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,88,7610.0,716500.0,62857002.0,88.0
2014,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,21,8350.0,835000.0,19091754.0,21.0
2014,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,25,8571.0,600000.0,16012000.0,25.0
2014,D,1,22,Kauf,1,J,Ja,119,119,Seebach,42,7150.0,655000.0,27753248.0,42.0
2014,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,41,9677.0,965000.0,40870922.0,41.0
2014,D,1,22,Kauf,1,J,Ja,121,121,Saatlen,18–20,10350.0,872500.0,17600000.0,18.0
2014,D,1,22,Kauf,1,J,Ja,122,122,Schwamendingen-Mitte,20,9287.0,1111000.0,22520922.0,20.0
2015,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),850,11015.0,1160000.0,1100525659.0,850.0
2015,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,4,13523.0,1275000.0,4830000.0,4.0
2015,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,63,12644.0,1140000.0,82819406.0,63.0
2015,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,22,11445.0,1135000.0,26270345.0,22.0
