"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2012,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","0",,,
2012,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","5",9412,800000,6543721
2012,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","2–4",9300,572500,2295000
2012,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","37",14858,2135000,99719952
2012,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","2-6",13553,1103126,2206252
2012,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","34–36",14858,2225000,97513700
2012,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","25",14426,1520000,40899000
2012,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","6-10",13393,1156500,11724000
2012,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass","15",17500,1755000,29175000
2012,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7","97",12238,1365000,170929524
2012,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern","35",15748,2120000,99266881
2012,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen","15",12500,2000000,26367000
2012,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden","13",14554,1249573,19110000
2012,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon","34",7409,636000,26185643
2012,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8","39",14400,1735000,71565242
2012,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld","7",16912,1025664,8680000
2012,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach","24",14513,1982500,52495000
2012,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg","8",10257,1350000,10390242
2012,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9","47",7586,830000,42269659
2012,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden","32",8443,895000,31759759
2012,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten","15",6414,809545,10509900
2012,"D",1,"22","Kauf",1,"J","Ja",100,"10","Kreis 10","60",9149,795500,56388811
2012,"D",1,"22","Kauf",1,"J","Ja",101,"101","Höngg","27-31",9938,750000,29246085
2012,"D",1,"22","Kauf",1,"J","Ja",102,"102","Wipkingen","29",8254,804000,27142725
2012,"D",1,"22","Kauf",1,"J","Ja",110,"11","Kreis 11","97",7812,650000,64299497
2012,"D",1,"22","Kauf",1,"J","Ja",111,"111","Affoltern","16",6041,504000,9050000
2012,"D",1,"22","Kauf",1,"J","Ja",115,"115","Oerlikon","31",9091,800000,23706667
2012,"D",1,"22","Kauf",1,"J","Ja",119,"119","Seebach","50",6400,625958,31542830
2012,"D",1,"22","Kauf",1,"J","Ja",120,"12","Kreis 12","29",7362,932000,26506600
2012,"D",1,"22","Kauf",1,"J","Ja",121,"121","Saatlen","3-9",5780,815000,2245000
2012,"D",1,"22","Kauf",1,"J","Ja",122,"122","Schwamendingen-Mitte","24",7554,940000,22726600
2012,"D",1,"22","Kauf",1,"J","Ja",123,"123","Hirzenbach","1–3",6102,767500,K
2013,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt","520",9566,1020000,623688156
2013,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1","4-12",13904,1150000,4351000
2013,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus","3-9",14474,1100000,3151000
2013,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen","0",,,
2013,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof","1-3",13333,1200000,1200000
2013,"D",1,"22","Kauf",1,"J","Ja",14,"014","City","0",,,
2013,"D",1,"22","Kauf",1,"J","Ja",20,"2","Kreis 2","21",9901,1066148,22525000
2013,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen","13",10480,1200000,15505000
2013,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach","4",4010,405000,1660000
2013,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge","4",10977,1170574,5360000
2013,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3","117",8258,910000,114306000
2013,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon","109",8258,915000,109016000
2013,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg","1-3",10364,570000,570000
2013,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld","5–7",8154,530000,4720000
2013,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4","32",10354,1109500,38046000
2013,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","0",,,
2013,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","29–31",10367,1110000,37396000
2013,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","1-3",8442,650000,650000
2013,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","48",13067,1485000,86503000
2013,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","1–3",4557,278000,K
2013,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","45–47",13175,1550000,84990000
2013,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","16-26",10307,1079500,31795500
2013,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","9",9622,850000,7605500
2013,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass","17",11881,1200000,24190000
2013,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7","54-64",13965,1615000,89945200
2013,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern","19-23",15357,1930000,36842500
2013,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen","16",13068,1575000,25915000
